TerminalNode,VPUCode
120533679,105
120535279,105
120536942,105
120537020,105
120538512,105
120538590,105
120539780,105
120539928,105
120540136,105
120540209,105
120540287,105
120540306,105
120541653,105
120541885,105
120542003,105
120543274,105
120543422,105
120543532,105
120545279,105
120546907,105
120546914,105
120548625,105
120551810,105
120551858,105
120552001,105
120553504,105
120555093,105
120555299,105
120556768,105
120558605,105
120558647,105
120560338,105
120561727,105
120561924,105
120561981,105
120563517,105
120566586,105
120568169,105
120570111,105
120571291,105
120575255,105
120578517,105
120578592,105
120581731,105
120581966,105
120586560,105
120586598,105
120586622,105
120586715,105
120586717,105
120588239,105
120588248,105
120590185,105
120594998,105
120596846,105
120596924,105
120598525,105
120598583,105
120599857,105
120600130,105
120601717,105
120601811,105
120603156,105
120604684,105
120606558,105
120606907,105
120609706,105
120609757,105
120611557,105
120613038,105
120613356,105
120614687,105
120616693,105
120617969,105
120618093,105
120619642,105
120619857,105
120621806,105
120623443,105
120626204,105
120626428,105
120628005,105
120631454,105
120633149,105
120634695,105
120638209,105
120639543,105
120639639,105
120641494,105
120641567,105
120644963,105
120647922,105
120649676,105
120651414,105
120652944,105
120654707,105
120659774,105
120661435,105
120663152,105
120666395,105
120666422,105
120668046,105
120669793,105
120672975,105
120674760,105
120677895,105
120681320,105
120681345,105
120683065,105
120686283,105
120689714,105
120696389,105
120701244,105
120704638,105
120712960,105
120719453,105
120721412,105
120724513,105
120731129,105
120734608,105
120737786,105
120749536,105
120772729,105
120418686,106
120443611,106
120456968,106
120456984,106
120458571,106
120468572,106
120473578,106
120483562,106
120495093,106
120501881,106
120503279,106
120505026,106
120508233,106
120521818,106
120523440,106
120523453,106
120533369,106
120538440,106
120540034,106
120543392,106
120548351,106
120549849,106
120551796,106
120553397,106
120558521,106
120563209,106
120564986,106
120568065,106
120571763,106
120573436,106
120576786,106
120580077,106
120584948,106
120588027,106
120604777,106
120606625,106
120609629,106
120614776,106
120616433,106
120618033,106
120621523,106
120623183,106
120626250,106
120639813,106
120649905,106
120651318,106
120657948,106
120658072,106
120663124,106
120666287,106
120676490,106
120683112,106
120684511,106
120689860,106
120691226,106
120691348,106
120692991,106
120696331,106
120703142,106
120704613,106
120706305,106
120709498,106
120717884,106
120719457,106
120736081,106
120746149,106
120746190,106
120759466,106
120766111,106
120774411,106
120792679,106
130054736,107
130080355,107
130081972,107
130087079,107
130092274,107
130094013,107
130094048,107
130095615,107
130097338,107
130097426,107
130099182,107
130100781,107
130100929,107
130100931,107
130102496,107
130107794,107
130111157,107
130112728,107
130112905,107
130114622,107
130116197,107
130116319,107
130119602,107
130121500,107
130123012,107
130128189,107
130128212,107
130131531,107
130135053,107
130136685,107
130136688,107
130143641,107
130152085,107
130152186,107
130153771,107
130177729,107
130189733,107
130193114,107
130196537,107
130196538,107
130199962,107
130201677,107
130203401,107
130211955,107
130211982,107
130239313,107
