outletRiverId,groupId
110114566,102
110115436,103
110115890,102
110117205,102
110118042,103
110118062,103
110118346,102
110118521,102
110118527,102
110119623,102
110119811,102
110119836,102
110122270,102
110122279,102
110122292,102
110122449,102
110123747,102
110123770,102
110124889,102
110126281,102
110127236,103
110127497,102
110127502,102
110127513,102
110128842,102
110128951,102
110129867,103
110130133,102
110130233,102
110131174,103
110131542,102
110132474,103
110132768,102
110132872,102
110134070,102
110134072,102
110134157,102
110134159,102
110134251,102
110135494,102
110135503,102
110135579,102
110136703,102
110136851,102
110138093,102
110138157,102
110138208,102
110139409,102
110139415,102
110139417,102
110139449,102
110139455,102
110139514,102
110140623,102
110140747,102
110140828,102
110143388,102
110143402,102
110143405,102
110144294,103
110144656,102
110144658,102
110144696,102
110144780,102
110147296,102
110147322,102
110147326,102
110148644,102
110148704,102
110149811,102
110149957,102
110150023,102
110151239,102
110152161,103
110152561,102
110152564,102
110152599,102
110153944,102
110155074,102
110155223,102
110156490,102
110156517,102
110156568,102
110156621,102
110157787,102
110157959,102
110159108,102
110159144,102
110159209,102
110162638,103
110164360,102
110165761,102
110166591,103
110168287,102
110169212,103
110169745,102
110170960,102
110172265,102
110173140,103
110173624,102
110176148,102
110176201,102
110177579,102
110178400,103
110179517,103
110179704,103
110181531,102
110182772,102
110183457,103
110185488,102
110186657,102
110186800,102
110186805,102
110188086,102
110190733,102
110191513,103
110193333,102
110193363,102
110195435,103
110195880,102
110196579,103
110199890,102
110205542,101
110207767,102
110209078,102
110211123,103
110211713,102
110213014,102
110214324,102
110215067,103
110218259,102
110218263,102
110218267,102
110218276,102
110218281,102
110218888,103
110221296,101
110222207,102
110222985,103
110223512,102
110223547,102
110224135,103
110224180,103
110224833,102
110226136,102
110226145,102
110226161,102
110226164,102
110226171,102
110228071,103
110228763,102
110228773,102
110230073,102
110230077,102
110230086,102
110230094,102
110230692,103
110232719,102
110232725,102
110233986,102
110234004,102
110234006,102
110234010,102
110234021,102
110234037,102
110235335,102
110235950,103
110236106,103
110236654,102
110237261,103
110237359,103
110237381,103
110237934,102
110237940,102
110239266,102
110239294,102
110240594,102
110240597,102
110240604,102
110241073,101
110241207,103
110241308,103
110242306,101
110242489,103
110242632,103
110243195,102
110243212,102
110243227,102
110245196,103
110248473,102
110249123,103
110249232,103
110249753,102
110249787,102
110250240,101
110252400,102
110252992,103
110253002,103
110253693,102
110254194,101
110255010,102
110256912,103
110256974,103
110257011,103
110258051,101
110258130,101
110258947,102
110259601,103
110259675,103
110259698,103
110259729,103
110261568,102
110261577,102
110261586,102
110263647,103
110265891,101
110265894,101
110267466,103
110268137,102
110269458,102
110269841,101
110270160,103
110271448,103
110271522,103
110272094,102
110272449,101
110272564,101
110272828,103
110273837,101
110273865,101
110273874,101
110274053,103
110274119,103
110274147,103
110274685,102
110275061,101
110275069,101
110275099,101
110275996,102
110276469,101
110276651,103
110277343,102
110277821,101
110278020,103
110278022,103
110278028,103
110278620,102
110278624,102
110279022,101
110279259,103
110279268,103
110280343,101
110281247,102
110281623,101
110281647,101
110281872,103
110282560,102
110283061,101
110283876,102
110285542,101
110285871,103
110286495,102
110286521,102
110287003,101
110287124,103
110287200,103
110287222,103
110287834,102
110288269,101
110289535,101
110290810,101
110290934,101
110292150,101
110292152,101
