riverName,riverId,outletRiverId,watershedName,lat,lon,country,parentRiverId,bboxWest,bboxSouth,bboxEast,bboxNorth,notes,validationFlag,sourceRow,wikipedia
Bhima,440332527,440262380,Krishna,16.40844,77.28733,India,440262380,73.43189,16.40844,77.88556,19.34333,,,351.0,
Godavari,440393057,440393057,Godavari,16.74122,82.35333,India,,73.50344,16.55556,83.10356,22.59411,,,344.0,
Manjira,440479653,440393057,Godavari,18.818,77.87467,India,440393057,75.46378,17.46311,78.61967,18.86178,,,347.0,
Indravati,440493416,440393057,Godavari,18.72344,80.27256,India,440393057,80.13444,18.51167,83.10356,20.60822,,,345.0,
Pranhita,440498916,440393057,Godavari,18.82422,79.91033,India,440393057,76.07289,18.82422,80.81056,22.59411,,,346.0,
Mahanadi,440662596,440662596,Mahanadi,20.29756,86.72133,India,,80.49,19.338,86.72133,23.45911,,,540.0,
Brahmani,440670842,440670842,Brahmani,20.49911,86.76111,India,,83.94378,20.49911,86.76111,23.53522,,,541.0,
Narmada,440786375,440786375,Narmada,21.66467,72.69289,India,,72.69289,21.44056,81.69833,23.69989,,,539.0,
Tapti,440800158,440800158,Tapti,21.06778,72.66167,India,,72.66167,20.13522,78.21678,21.93589,,,542.0,
Sone,441039382,441057380,Ganges/Padma,25.708,84.86878,India,441057380,80.21533,22.688,84.91711,25.708,,,128.0,
Ganges/Padma,441057380,441057380,Ganges/Padma,23.19333,90.60478,Bangladesh,,73.41722,22.51211,97.68056,31.38778,"Padma and the Ganges are the same river, ganges is on the India side of the border",,122.0,
Gandak,441088921,441057380,Ganges/Padma,25.61811,85.20711,India,441057380,82.96844,25.61811,85.73122,29.29067,,,127.0,
Kiul,441109571,441057380,Ganges/Padma,25.4,86.48822,India,441057380,84.66911,24.00878,86.48822,25.48533,Joins Ganges earlier than the layer,,126.0,
Koshi,441123331,441057380,Ganges/Padma,25.41844,87.28067,India,441057380,85.07311,25.37233,88.88267,29.066,,,125.0,
Yamuna,441132962,441057380,Ganges/Padma,25.41156,81.89967,India,441057380,73.41722,22.51211,81.89967,31.36133,Ganges becomes less than this tributary,,130.0,
Brahmaputra,441142665,441057380,Ganges/Padma,23.80211,89.74289,Bangladesh,441057380,82.05689,23.80211,97.68056,31.21056,Name switches to the Ganges near here,,124.0,
Ramganga,441189299,441057380,Ganges/Padma,27.17178,79.85356,India,441057380,78.25689,27.17178,79.85356,30.06322,,,131.0,
Gomti,441197630,441057380,Ganges/Padma,25.51267,83.17611,India,441057380,80.00856,25.45978,83.17611,28.61889,,,129.0,
Gilgit,440191320,441077984,Indus,35.74156,74.624,Pakistan,441077984,72.56833,35.74156,75.73433,37.03422,Borders to India and Pakistan are weird up in the mountians,,238.0,
Shyok,440374354,441077984,Indus,35.23044,75.914,Pakistan,441077984,75.914,32.74933,81.10644,35.621,,,239.0,
Shingo,440397768,441077984,Indus,34.74644,76.21611,Pakistan,441077984,75.16278,33.84911,76.52611,35.13422,,,240.0,
Sawan,440468019,441077984,Indus,33.02267,71.72067,Pakistan,441077984,71.72067,32.65956,73.49011,33.83133,,,236.0,
Zanskar,440525762,441077984,Indus,34.16589,77.33167,India,441077984,76.29833,32.59089,77.94178,34.16589,,,241.0,
Kabul,440532652,441077984,Indus,33.89933,72.23444,Pakistan,441077984,67.64844,33.66,73.83211,36.87167,,,237.0,
Gomal,440579537,441077984,Indus,31.59311,70.85067,Pakistan,441077984,67.51922,30.611,70.86322,32.86267,,,234.0,
Indus,441077984,441077984,Indus,24.01033,67.47011,Pakistan,,66.23456,24.01033,82.36833,37.03422,,,232.0,
Chenab,441247006,441077984,Indus,29.14122,70.69611,Pakistan,441077984,70.69611,29.14122,82.36833,35.13144,,,233.0,
Ishikari,450155784,450155784,Ishikari,43.2711,141.37042,Japan,,141.04073,42.78487,143.09522,44.4021,,,527.0,
Tone,450171694,450171694,Tone,35.74431,140.85198,Japan,,138.45348,35.60731,140.85198,37.02287,,,526.0,
Musi,510088741,510088741,Musi,-2.33678,104.91856,Indonesia,,102.19156,-4.93856,105.09756,-2.08244,,,554.0,
Batang Hari,510094143,510094143,Batang Hari,-1.036,104.18656,Indonesia,,100.79589,-2.68389,104.25956,-0.78389,,,553.0,
Barito,520164806,520164806,Barito,-3.51878,114.49867,Indonesia,,113.27156,-3.66967,115.81444,0.70233,,,551.0,
Kapuas,520327685,520327685,Kapuas,-0.15944,109.08578,Indonesia,,109.08578,-1.221,114.11856,1.55744,,,550.0,
Mahakam,520369677,520369677,Mahakam,-0.87622,117.39911,Indonesia,,113.91533,-1.09589,117.39911,1.78011,,,552.0,
Mamberamo,530060936,530060936,Mamberamo,-1.46789,137.89978,Indonesia,,136.479,-4.673,141.07733,-1.46789,,,558.0,
Fly,530146880,530146880,Fly,-8.28211,142.40022,Papua New Guinea,,140.76422,-8.57056,143.66778,-4.90533,,,557.0,
Sepik,530186378,530186378,Sepik,-3.84478,144.54267,Papua New Guinea,,140.68411,-5.79944,144.94767,-3.17844,,,556.0,
Daly,540368410,540368410,Daly,-13.31856,130.26678,Australia,,130.22956,-16.11778,133.43822,-13.30633,,,494.0,
Snowy,540386833,540386833,Snowy,-37.80311,148.54833,Australia,,148.00089,-37.81189,149.43344,-35.84956,,,505.0,
Drysdale,540426223,540426223,Drysdale,-13.95089,126.85689,Australia,,125.836,-16.42322,127.24811,-13.91344,,,493.0,
Goulburn,540479503,540510389,Murray,-36.10256,144.82933,Australia,540510389,144.73589,-37.59278,146.55878,-36.10256,Murray attribute ends here,,290.0,
Little Murray,540496949,540510389,Murray,-35.44689,143.81511,Australia,540510389,143.51044,-37.47578,144.31067,-35.44689,,,289.0,
Murray,540510389,540510389,Murray,-35.42444,139.24656,Australia,,138.87567,-37.59278,152.41989,-24.648,,,283.0,
Wakool,540671647,540510389,Murray,-34.85822,143.35289,Australia,540510389,143.35289,-37.24311,148.36222,-34.61822,,,288.0,
Manie Creek,540697175,540510389,Murray,-34.67,143.007,Australia,540510389,143.00056,-34.67044,145.54011,-33.18944,,,286.0,
Murrumbidgee,540699865,540510389,Murray,-34.729,143.21911,Australia,540510389,143.21911,-36.48511,149.937,-32.37133,,,287.0,
Great Darling Anabranch,540861120,540510389,Murray,-34.09756,141.75644,Australia,540510389,141.38422,-34.09756,142.34867,-31.65889,,,284.0,
Darling,540871873,540510389,Murray,-34.11289,141.90856,Australia,540510389,141.84122,-34.11289,152.41989,-24.648,,,285.0,
Roper,540615757,540615757,Roper,-14.74456,135.39589,Australia,,132.192,-16.57867,135.439,-13.04322,,,495.0,
Victoria,540618461,540618461,Victoria,-15.13778,129.68856,Australia,,129.14989,-19.25178,132.38278,-14.95211,,,491.0,
Mitchell,540692384,540692384,Mitchell,-15.21333,141.609,Australia,,141.609,-18.19178,145.45667,-14.98756,,,506.0,
Ord,540703147,540703147,Ord,-15.35311,128.28644,Australia,,127.30189,-18.58178,129.99611,-15.35311,,,492.0,
Gilbert,540867158,540867158,Gilbert,-16.54711,141.268,Australia,,141.25378,-19.59011,144.72467,-16.54711,,,507.0,
Blackwood,540943113,540943113,Blackwood,-34.32933,115.17733,Australia,,115.08767,-34.375,118.33633,-32.83833,,,490.0,
Nicholson,541008315,541008315,Nicholson,-17.50144,139.60733,Australia,,136.714,-19.828,139.60733,-17.50144,,,511.0,
Flinders,541019067,541019067,Flinders,-17.50756,140.73067,Australia,,139.84811,-21.76378,144.93056,-17.50756,,,508.0,
Leichhardt,541029821,541029821,Leichhardt,-17.56644,139.79767,Australia,,139.03522,-21.03678,140.54256,-17.56644,,,510.0,
Hawkesbury,541116460,541116460,Hawkesbury,-33.56233,151.34067,Australia,,149.46444,-35.10767,151.34067,-32.74856,,,503.0,
Norman,541135992,541135992,Norman,-17.46111,140.82133,Australia,,140.79722,-19.90178,143.41811,-17.35311,,,509.0,
Burdekin,541136078,541136078,Burdekin,-19.643,147.59367,Australia,,144.28122,-24.37511,148.58044,-18.18844,,,496.0,
Hunter,541236051,541236051,Hunter,-32.91067,151.79544,Australia,,149.74344,-33.10178,151.89578,-31.63611,,,502.0,
Swan,541527664,541527664,Swan,-32.05711,115.72867,Australia,,115.72867,-33.52244,120.14278,-29.65456,,,488.0,
Moore,541690262,541690262,Moore,-31.35833,115.49344,Australia,,115.49344,-31.46167,116.64267,-29.60756,,,489.0,
