TerminalLink,VPUCode
450054218,413
450090122,413
450004172,413
450099916,413
450074349,413
450083597,413
450075438,413
450090127,413
450090671,413
450002000,413
450013968,413
450105360,413
450002545,413
450013426,413
450097205,413
450094485,413
450097750,413
450089046,413
450084152,413
450084698,413
450056413,413
450072734,413
450068928,413
450067840,413
450005281,413
450074369,413
450070018,413
450040645,413
450033030,413
450007463,413
450005832,413
450036841,413
450027058,413
450019994,413
450019996,413
450014014,413
450016190,413
450007502,413
450005906,413
450005392,413
450004309,413
450003800,413
450003801,413
450003802,413
450003810,413
450003270,413
450002729,413
450009807,413
450002193,413
450022866,413
450033203,413
450032115,413
450039733,413
450002742,413
450003300,413
450035399,413
450034311,413
450043560,413
450003849,413
450038668,413
450032141,413
450032143,413
450033234,413
450033781,413
450003318,413
450033238,413
450040309,413
450035416,413
450030523,413
450003868,413
450043590,413
450044683,413
450002804,413
450046872,413
450051771,413
450038172,413
450045244,413
450032734,413
450002271,413
450032735,413
450016420,413
450019688,413
450002286,413
450013166,413
450011535,413
450027875,413
450026788,413
450030601,413
450003408,413
450003411,413
450016468,413
450003960,413
450013754,413
450005596,413
450008315,413
450017025,413
450018657,413
450045864,413
450028456,413
450028458,413
450030634,413
450002891,413
450049133,413
450032269,413
450027374,413
450004530,413
450003443,413
450061651,413
450053493,413
450062743,413
450062200,413
450002361,413
450069817,413
450068186,413
450065467,413
450100828,413
450095389,413
450094845,413
450080157,413
450093758,413
450105726,413
450107903,413
450116065,413
450116608,413
450115521,413
450079074,413
450112262,413
450118791,413
450099752,413
450126409,413
450099212,413
450098125,413
450085071,413
450128049,413
450080722,413
450068212,413
450066036,413
450013813,413
450080180,413
450051350,413
450054614,413
450039384,413
450033401,413
450004026,413
450042649,413
450024701,413
450011102,413
450031774,413
450032321,413
450018178,413
450002950,413
450002409,413
450016009,413
450011661,413
450018737,413
450030708,413
450039955,413
450032888,413
450003514,413
450049211,413
450040509,413
450048134,413
450064459,413
450005169,413
450004091,413
450003004,413
450045982,413
450005182,413
450041086,413
450048164,413
450052520,413
450068301,413
450004655,413
450073743,413
450078097,413
450079186,413
450088980,413
450006835,413
450094423,413
450093880,413
450093339,413
450005756,413
450085728,413
450137966,413
450148303,413
450127089,413
450128177,413
450199987,413
450071603,413
450021556,413
450212499,413
450205972,413
450193461,413
450158652,413
450095548,413
450168989,413
450152670,413
450101534,413
450155391,413
450142335,413
450147776,413
450136896,413
450158656,413
450118945,413
450126561,413
450007970,413
450123843,413
450163555,413
450126020,413
450129828,413
450097734,413
450096646,413
450105351,413
450138536,413
450042247,413
450117319,413
450108615,413
450117320,413
450128200,413
450116776,413
450120040,413
450033546,413
450081962,413
450066731,413
450083052,413
450074893,413
450067278,413
450013421,413
450080333,413
450083053,413
450094477,413
450076526,413
450079246,413
450081969,413
450080880,413
450005266,413
450090131,413
450092308,413
450022677,413
450087957,413
450041718,413
450041719,413
450102103,413
450082520,413
450079260,413
450049339,413
450062940,413
450016702,413
450075455,413
450054243,413
450012355,413
450009093,413
450036837,413
450015621,413
450009638,413
450034663,413
450052616,413
450033033,413
450033035,413
450039564,413
450030323,413
450036853,413
450034678,413
450037942,413
450027066,413
450027609,413
450021082,413
450014555,413
450016731,413
450008031,413
450015646,413
450006413,413
450003151,413
450008082,413
450005363,413
450005935,413
450002677,413
450003224,413
450013607,413
450015790,413
450031031,413
450004920,413
450042464,413
450025620,413
450003863,413
450026717,413
450040327,413
450004433,413
450051217,413
450066450,413
450068631,413
450060472,413
450062107,413
450039260,413
450034908,413
450003358,413
450031648,413
450021320,413
450010998,413
450014264,413
450019705,413
450034401,413
450035490,413
450027877,413
450003399,413
450034952,413
450038762,413
450021359,413
450015918,413
450012657,413
450008306,413
450004501,413
450013749,413
450014295,413
450007225,413
450010490,413
450008864,413
450030082,413
450028451,413
450003971,413
450021923,413
450044229,413
450036071,413
450046413,413
450032815,413
450038800,413
450063827,413
450049686,413
450059478,413
450055126,413
450094844,413
450111164,413
450117693,413
